Question Type,Question
Interaction,does phosphatidylserine interact with antidepressants and antipsychotics?
Effectiveness,"does the herb ""eyebright"" cure cateracts before they start?"
Usage,"what is a good amount of sesame seeds,flax seeds,and pumpkin seeds to eat at once?"
Interaction,"does having dairy products like milk, yogurt, cheese reduce the effect of calcium pills for bone structures?"
Usage,vitamin b1 - how long does it take to work?
Usage,so how much water should i use for about a pound of dried mangosteen?
Effectiveness,do you believe taking ginseng can improve overall health?
Effectiveness,do msm supplements really make your hair grow or is it just a myth?
Usage,l-glutamine whats an appropriate dosage for ibs?
Usage,how much acai berry should be taken daily?
Indication,what are the benefits of using oil of oregano drops?
Availability,is there a copper supplement pill?
Effectiveness,does l-arginine make you grow taller?
Interaction,"""a multiple vitamin such as centrum amino acid"
Indication,health benefits of silica and fish oil supplements?
Adverse_Effects,does acai berry cause headache?
Safety,is it safe to feed the kids (manuka honey) or not?
Usage,is 1000 iu of vitamin d3 enough or too much for a 5'7 200 pound woman?
Effectiveness,does honey and lemon work for sore throat?
Usage,i drank magnesium citrate laxative about 2 months ago and i was wondering when it was safe to intake it again.
Usage,whats the best way to take valerian root?
Usage,is it safe to take sam-e at night before dinner or should it be taken only during the day ?
Availability,"hi there i live in toronto, scarborough area does anyone know where i can find the supplement choline and dmae around my area or in toronto?"
Effectiveness,does ganoderma mushrooms really work ?
Effectiveness,krill oil-anyone used it and what were the results?
Usage,diatomaceous earth how to use it?
Background,"what exactly is ""modified palm oil""?"
Availability,where can i buy vitamin k cream over the counter?
Indication,could dexamethasone sodium phosphate be used as a muscle gaining steroid?
Indication,can elderberry extract be used even when you're not sick/to keep your immune system boosted/strong?
Background,what exactly is agnus castus?
Indication,should a healthy young person be taking omega fish oil capsules? which contain eicosapentaenoic acid and docosahexaenoic acid.
Effectiveness,does l-tryptophan help you fall and stay asleep at night?
Background,what is passiflora syrup/surup ?
Indication,"hi all, i'm gonna ask about aloe vera, could any body tell me the benefits of aloe vera?"
Availability,"where can i find quercetin supplements in melbourne, aus?"
Availability,where are the places to buy epsom salts or magnesium sulfate in the philippines?
Effectiveness,do silicon paths help to reduce keloids?
Indication,what is grape seed good for?
Availability,is it possible to get intravenous alpha lipoic acid in the uk?
Usage,"""whats a safe but effective dose of vitamin b1 to take each day to combat possible deficiency?thanks in advance for any answers"
Usage,"well i have minor issue with a drooping eyelid which comes and goes - have done some reading up and due to me being a heavy smoker and not always having a great diet i think i could have a vitamin b1 deficency.also this latest time it happened i had just stopped taking multivitamins (with b1 etc) and have been drinking alcohol a little more than normal....i have multivitamins again now but wasn't sure if 1.5mg would be sufficient to improve my condition.... so its safe to take 100mg per day?"""
Usage,"""i have the following"
Safety,is a daily dose of 2 tablespoons of zinc 500 ppm safe?
Effectiveness,does black walnut hulls over the counter medicine really kill parasites if taken internally?
Effectiveness,would mastic gum pills be useful in treating candida ?
Safety,is rue herb safe to use to anticipate labor?
Indication,can i use the product l-dopa to raise dopamine levels.i am a female and was told this supplement is for men.?
Usage,does holy basil work better on a liquid form than a capsule form.?
Adverse_Effects,lately i've been drinking this tea made out of lemongrass and green tea.... but my throat hurts afterwards....? im used to drinking green tea so i know its not that but could it be the lemongrass?
Indication,can lemongrass be used to pass a urine drug test?
Indication,can anyone tell me if there is any other beneficial use for cascara sagrada besides it being a laxative?
Availability,where can arnica montana pills be purchased from?
Indication,"i am a 17 year old, i accidentally bought vitamin b1 (thiamine) instead of b7 (biotin), is it ok for me to continue taking the b1 supplement"
Indication,what is the element sulphur used for in naturopathic medicine?
Interaction,can i take ashwaganda tincture aswell as natracalm passiflora tablets on a daily basis?
Effectiveness,will glucosamine sulfate raise the estrogen level?
Effectiveness,would you say lycopodium and tyrosine could be used for the same reasons?
Background,what is lactobacillus acidophilus?
Interaction,can i mix polyethylene glycol with doxycycline hyclate?
Effectiveness,is boron chelate the same as borax to detoxify the body from fluoride?
Indication,"so does the salmon oil, or the epa "" dha add more omega-3 or something?"
Usage,what is the real recommended dose for omega-3/docosahexaenoic acid/eicosapentaenoic acid?
Availability,where can i purchase activated charcoal for taking into the body?
Adverse_Effects,can kava kava cause liver failure the first time you try it?
Adverse_Effects,what negative side effects does yellow jasmine (gelsemium sempervirens) have?
Usage,"how long should it take for my astragalus, echinechea, eyebright, propilis, and bilberry supplements begin to work once i begin taking them (daily)?"
Interaction,"is it beneficial to combine st. john's wort, valerian root and 5htp to combat anxiety?"
Availability,where can i buy borage and flaxseed oil in singapore ?
Safety,is taking extreme amounts of vitamin c supplements bad for you?
Usage,can i take alfalfa by it self or do i need to take blessed thistle with it?
Adverse_Effects,can apple cider vinegar cause hair loss?
Safety,is argyreia nervosa (hawaiian baby woodrose) safe to consume?
Usage,how long one can take nux vomica 200 for irritable bowel syndrome?
Interaction,will starch peanuts lower the effect that citric acid has on the body?
Interaction,is it safe to take coenzyme q10 and fish oil together?
Effectiveness,does magnesium citrate work for ibs?
Indication,is vitamin d3 (cholecalciferol) fda approved for crohn's ?
Usage,is it possible to take too much apple cider vinegar in one day?
Effectiveness,is there any scientific evidence that cod liver oil really does help joints and evening primrose oil helps hormonal issues or is it all made up?
Usage,how to use maca root?
Availability,where to buy khat in melbourne?
Effectiveness,a few colleagues have advised that i use kelp - would it be useful?
Usage,what is the dosage that i should take sepia 30c to treat constant nausea?
Indication,does anyone know the health benefits to barley grass?
Interaction,is it to take amoxicillion with iron supplements?
Safety,is brewer's yeast safe?
Indication,what do folic acid pills do?
Indication,is sea kelp an appetite suppressant?
Usage,its my first time at taking folic acid should i take a higher dose than 400 mcg ?
Availability,where can u buy castor oil from in the uk?
Availability,where do you buy inositol?
Indication,what is vitamin b12 used for?
Adverse_Effects,what are the side effects of taking gelanized maca?
Interaction,can i take cascara sagrada with metphormin?
Usage,why can't this salvia divinorum be ingested?
Usage,"also, how do i prepare morning glory for ingestion?"
Usage,how to use/ prepare gotu kola for anxiety?
Effectiveness,"do you think ""red yeast rice"" really helps lowering your cholesterol?"
Usage,can you buy raw anti-oxidant polyphenols and put them in liquid?
Availability,where can i buy vitamin b3 in sydney's inner west the cheaper the better?
Safety,"""ok i just bought vitamin c pills and the ingredients scare me, ingredients"
Usage,how much echinacea do i need in a day?
Safety,is it just clove oil that is poisonous to humans or cloves themselves?
Safety,is taking propolis safe?
Interaction,is eating onion and garlic together bad for the bowels?
Effectiveness,why did olive oil not work completely?
Indication,are there any proven benefits to taking shark cartilage?
Safety,are dong quai and damiana dangerous?
Background,what is arnica montana?
Adverse_Effects,has anyone ever heard of flaxseed oil allergy?
Interaction,can you prescribe arnica with metacam?
Effectiveness,do foods rich in vitamin c really lower the potency of adderall in your system?
Adverse_Effects,side effects of sepia homeopathic regime?
Indication,benefits
Adverse_Effects,side effects
Usage,uses
Indication,does flaxseed oil and omega 3 fish oil do the same thing?
Indication,does flaxseed oil and omega 3 fish oil do the same thing?
Availability,where can i buy bentonite clay?
Availability,where can i get selenium tablets in india?
Indication,do onion vapors cleanse your eyes?
Effectiveness,does d-mannose really work for utis?
Usage,how long should i continue treating myself with d-mannose?
Interaction,"is it safe to take vitamin c, grapeseed extract and vitamin d at the same time with glutathione?"
Usage,whats the best way to take 1000mg of niacin(immediate release) for increasing hdl's?
Indication,"will taking two fish oil caps, a multivitamin and a b-vitamin complex tablet every day help you live longer?"
Interaction,can you use bacopa (brahmi) and valerian root (tagara) herbs together?
Effectiveness,for those who have taken biotin did your hair grow longer?
